content,그 중앙도서관 2~3층이 법학관이여?
comment,맞아 꼭 필요한 거면 식사자리 뺀 공식적 모임으로 최소화해서하면 좋을 것 같아.,10/28 00:09
comment,오 나도!! 특히 식사자리는.. 진짜 마스크 소용이 없잖아,10/28 00:11
comment,삭제된 댓글입니다.,
comment,그치 ㅠ 몇몇 딴 학교 친구들은 1학기때부터 심하게.. 만나서 솔직히 좀 아니다 싶기도 했어 울 학교가 심한편이긴한테 이성적으로는 맞는 판단이라고 생각하긴해,10/28 00:13
comment,단과대가 어디인지는 모르겠지만 우리 과도 아직 동기들 만난 적은 없오 나도 그래서 아는 동기가 없어.. ㅠㅠㅠㅠㅠ 근데 에타 보니까 만나는 과도 있는 것 같더라고,10/28 00:14
comment,난 사실 올해는 반쯤 포기했어..,10/28 00:21
comment,"당연히 맞는말이긴한데 요즘에는 모임 한번도 안가지면 바보되는 느낌.. 솔직히 코로나 1년 다돼가는데 1년동안 모임안가질 수는 없잖아.. 나도 처음엔 쓰니같은 생각이었는데 요즘은 만나되, 마스크 잘쓰고 손 잘씻어라 주의야....",10/28 00:16
comment,대규모는 아니어도 난 제발 한 번은 해줬으면 좋겠어 소규모라도.. 곧 한 번은 보겠지 일학년때 한 번은 만날 기회있겠지 했는데 올해 다 가도록 학교에 아는 사람도 없고 진짜 너무 속상해 요즘,10/28 00:20
comment,흠 너희도 대형이니?,10/28 00:24
comment,나는 약간 너랑 반대 생각이었는데 최근에 다른 학교 친구가 확진자랑 직접 접촉해서  난리났었어 학교 동기들 만나고 모임하고 동아리하고 다하는 애라서 더 난리났었음 다행히 음성 떴지만 뒷수습이 진짜 힘들더라 누구는 왜이렇게 돌아다녀서 그런 일을 만드냐고 걔를 비난하기도 했었음 그거 보고 남한테 피해 주고 욕 먹는게 더 뮤서워서 요즘엔 난 안 나가는 중 남은 그러던가 말던가임...,10/28 00:22
comment,나도 한동안 좀 나가다가 요즘 집에 쳐박혀있거나 고딩 친구들 가끔 만나서 산책하고.. 가끔 친구 집가서 강아지랑 놀고.. 정말 순수?하게 놀아 ㅠㅠ 나도 딴 학교 친구가 너 친구처럼 동아리 엄청 하고 놀러다니는 앤데 확진자 접촉해서 막 걱정하고 비계에 난리쳣거든.. 같은 친군 아니겠지만 ㅎㅎ 그래서 지쳐도 자제하고 이렇게 살아야겠다 생각중이야,10/28 00:24
comment,혹시 ㅅㅅ 대?,10/28 00:25
comment,헐 맞아.....숭ㅅ대...거기 학교 애들 엄청 놀러다니는거 맞구나ㅋㅋㅋㅋㅋ그래서 막 자가격리 당하고 그거 주변에 알리면 주변 사람들이 쟨 왜저리 돌아다녀서 피해주냐 욕 먹고 무섭더라ㄹㅇ...,10/28 00:26
comment,"그 학굔 엠티도 갔다옴 1학기때,, 헐 대박 같은 학교라는게 소름돋아 ㅎㅎ 숭ㅅ이랑 고ㄹ 장난아니더락",10/28 00:27
comment,솔직히 우리 학교도 만날 애들 소수로 만나던데...어차피 이제 1학년 다 끝난 마당에 학교에서 뭔가 자리를 마련해주길 바라는건 좀 그렇고 알아서 친구 사귀고 알아서 만나고 놀아야할 듯 싶어....,10/28 00:28
comment,근데 진짜 그러니까 학교 이미지 떡락하는거 있더라 주변 친구들도 뒤에서 막 욕하고..,10/28 00:28
comment,슬프지만 친구 사귀는 것 알아서 해야할 것 같긴함.. 학교에서 공식적으로 만들어주는 것도 솔직히 위험함 괜히 숭실 처럼 확진자 접촉이라도 하면 뉴스에 ㄷ 대학.. 뭐 이렇게 뜨겠지,10/28 00:29
comment,맞아 어차피 학교 측에서는 그런 위험 감수하는게 리스크가 크니깐 못 하지...걍 각자 알아서 살아 남아야지 이미 친해진 애들은 어떻게든 친해졌던데 만나던가 카톡을 하던가 인스타로 소통을 하던가 알아서 살아남아야 한다고 생각해 이젠,10/28 00:30
comment,난 언제 종식될지 알지도 못하는거고 이렇게 백신 안나오고 평생 갈수도 있는거 혼자 평생 코로나코로나 거리면서 아무것도 안하는건 좀 아닌것같애ㅎㅎ이미 다 놀고 만난지 오래고 우리학교가 유난히 좀 심한것도 팩트,10/28 02:25
comment,나는 공식적 모임 말하는거 그래도 단체로 뭐 만나는 건 좀 아닌것같아성..,10/28 10:09
content,"형총 ㄱㄷㅇ 레포트 책만 참조했니,,? ㅠㅠㅠ"
comment,더..참조할게..없지않나...?ㅠ,10/28 00:54
comment,ㅠㅠㅠㅠㅠ그건 그런데..책 여러개 봤어?,10/28 00:57
comment,아니 나는 그냥 교수님 설명이랑 교과서로 했다...,10/28 01:02
comment,아직 다 못썼는데 나도 그럴거같아ㅋㅋㅋㅋ큐ㅠㅠ,10/28 01:08
content,"18인데 어차피 동기들끼리 생각보다 그렇게 끈끈한 유대감은 없어요 오히려 타 과 친구들이랑 더 친해진 케이스입니다동아리하고, 세미나에서 팀플하다가 엄청 친해졌어요 과 친구 못사귀었다고 너무 속상해지마요!!물론 과 친구들이랑 잘 맞고 친한 사람도 많긴 한데너무 집착하지 않았으면 좋겠어요 20 아코들ㅠㅠ"
comment,그니깐요 저도 반수해서 온 22살 아코인데 친구들 엄청 급해보여요...대학이란게 취업 준비하고 자기 살기 바쁘면 너무나도 자연스럽게 정말 친한 친구들 빼고 멀어지는데 평생 친구가 될거란 환상+친해져야한다+혼자 남기 싫다 이런 스트레스가 너무 심해보여요...동기라고 해서 안 맞는데 굳이 친해질 필요 없고 그냥 팀플이나 교양에서 다른과 평생 친구 한 명만 만들어도 졸업 후에도 든든해요 너무 강박 갖지 말았으면....어차피 만날 사람은 다 만나고 떠날 사람은 떠납니다...,10/28 00:54
comment,그쵸 저도 그렇게 생각해요 정 없어 보일지 몰라도 대학친구가 고등학교 중학교 친구 못이기더라구여 저는,10/28 00:55
comment,새내기라 ㅠㅠ 많이 조급하고 속상해보여서 제가 다 마음이 아파요 그럴 필요 없는데,10/28 00:55
comment,"정말 중,고등학교보다 정 없는 곳이 대학인데...취업하거나 학년 올라갈수록 자기 살기 바빠서 몇 명 빼고 손절치고 그런거 엄청 느낄 텐데 너무 인간관계에만 매몰되어 있는 것 같아요...친구 사귀기보다 지금 더 중요한게 많아요 여러분...그냥 남을 사람은 남겠지하고 미래와 진로 계획, 준비하는게 더 이득입니다ㅠㅠㅠㅠ",10/28 00:58
comment,"저도 이제 취업 땜에 걱정 이만저만 아니에요,, 하 ....",10/28 01:02
comment,따뜻하게 말해주셔서 감사해요🥺 저는 재수한 새내기인데 오히려 학교 동기들이랑 친해지려는 의지도 안생기네요ㅠㅠ 한 살차이지만 뭔가 다들 고딩동생들같고 막 그래서ㅋㅋㅋㅋ학교에 아는 사람도 한 명도 없고.. 동국대에 소속감도 없고.. 여태껏 학교에 아는 사람 아무도 없다는 건 자기가 아무 노력도 안해서 그런거다 다들 그러던데 맞는 말 같아요 ㅋㅋㅋ큐ㅠㅠ 단지 좀 속상한 건 친구를 못사귀어서라기보다는 제 주변 고등학교친구들이 작년에 다 경험해본 새터 엠티 이런 거 못해본 게 너무 아쉬워여,10/28 01:05
comment,"말투 누무 귀여워,,,, 세상에 🥰 귀여운 아코님 조금 아쉽겠지만 너무 속상해하지는 않았으면 좋겠어용 ㅜㅜ 아마 아직 학교에 아는 사람 없는 새내기들 많을거에요 중간고사 끝났는지는 모르겠지만 화이팅해요😃❗️",10/28 01:06
comment,ㄹㅇ 걍 주변에 남을 사람만 남더라,10/28 03:33
comment,특히 군대갔다오면..ㅋㅋ,10/28 09:57
comment,휴학하고 복학하면 어차피 혼자 ㅋㅋ,10/28 10:16
comment,평친 사귀고싶다 좋은친구 사귀고싶다가 아니라 그냥 여러사람 만나면서 즐기고 놀고 싶은거에요ㅜ 대학가면 예쁜 사람 멋진사람도 많다는데 집에서 아무도 못 만나고 고딩 입시때랑 다를게 없으니까 그게 속상한거죠,10/28 11:18
content,ㄱㅁㅈ교수님 칼럼 이제 시작한다...ㅋㅋㅋㅋㅋㅋ
comment,ㅋㅋㅋㅋㅋ제안서 주제는 정했냐,10/28 09:25
content,"일생2 듣는데 이거 교재와 순서, 내용이 다른데 원래 그래??"
comment,삭제된 댓글입니다.,
comment,혹시 일생은 공부어떻게 해야되요?,10/28 06:40
comment,"시험은 서술형이라는데 어떻게 나올까요..? 교수님마다 다르겠지만 지엽적인 부분, 설명, 예시 부분도 나올까요??",10/28 06:43
content,일학기 때 일생 기말대체 과제 뭐였어요??
content,ㅅㅌㅇ 교수님 나삶나비 들어보신 분.. 교수님 풀강하시나요??
comment,풀강까진 아니고 조금은 일찍 끝내주세요,10/28 08:45
comment,한 10분정도 일찍 끝내주시나요..? 바로 뒤에 일이 있는데 조금 촉박할 것 같아서ㅠ,10/28 08:45
comment,그정도는 일찍 끝내주실거에요 솔직히 걍 켜놓고 뭐 대답하라 할때만 수업 들어서 ㅋㅋㅋㅋ 어느정도 한다고 말하기가 어려워요 ㅠ 다만 일찍 끝내주신다 이거만 참고하시면 될것 같아요,10/28 08:47
comment,감사해용ㅠㅠㅠ,10/28 08:48
content,자명2 ㅇㅎㄱ 교수님 토론글 뭐하는건지 아는 사람 ㅠㅠ
content,오늘  회계 ㅅ험인데 하나도 모른다 눈물나 ㅠㅠㅠㅠ
comment,나도ㅠㅠ 진짜 바보 된 기분..,10/28 09:56
content,오늘 뭐 입지 입을게 없다
comment,니트 바지,10/28 10:13
comment,과잠,10/28 11:07
comment,ㅇㅈ,10/28 13:48
content,자명이 pf인데 겁나 빡빡하게 구네;; 토론글 제대로 쓰는데 뭘 맨날 명상안하냐고 의심해;;
comment,아 스트레스 받음,10/28 10:20
comment,시발 걍 드랍할걸 들으면 들을수록 ㅈ같네;;;,10/28 10:20
comment,누구??,10/28 10:35
comment,방탄학개론 교수라고있음,10/28 10:39
comment,혹시 ㅇㅎㄱ 교수님인가..? 그분 1학기땨는 천사셨는다ㅠㅠ,10/28 10:44
comment,삭제된 댓글입니다.,
comment,난 ㅈ같아서 읽기 귀찮으라고 역으로 길게 주러지주저리씀ㅋㅋㅋㅋ,10/28 10:47
comment,토론글 미친... 자명은 원래 아무것도 안하는 맛으로 듣는건데 ..,10/28 12:48
comment,ㅇㅈ;우리도 맨날 질문했는데 3분 안에 답 없으면 출석해도 결석처리해버림,10/28 16:42
content,ㅇㅁㅈ 사개론 퀴즈 있니.. 오늘
comment,웅 있어 들어야돼!,10/28 12:09
content,"불인 ㅂㅇㄹ 교수님 오늘 출첵 하셨어 ???....??? 잠들었다가 깼는데 수업이 끝났숴 .,.,."
comment,원래 안 하시지 않아?!?!?!,10/28 11:55
content,자명2 ㅎㅈㅎ 교수님 레포트 글자 크기 제한있어?
content,EAS2 키난 교수님 방이 왜 안열리죠 ㅠㅠ
content,영어영문 전공선택 휴학한 사람도 지금 해야되는거야?????? 누가 알려죠!!!
comment,나도궁금하당,10/27 13:54
comment,나 작년에 휴학했는데 1학년 2학기 재학 대상이라서 이번학기 복학해서 선택했어,10/27 15:04
comment,아 감사합니다!!!,10/27 15:07
content,경영학원론 오늘 수업있나요?
content,혹시 미래환경과 위험사회 남진숙교수님 수업 들으시는 분들중에  학생 강의노트 서로 보완하고 알려주는 톡방 만들면 들어오실 분들 계신가요...??
comment,저요저요!!,10/27 17:30
comment,헉 좋아요 나중에 링크 드릴게요~,10/28 11:14
comment,삭제된 댓글입니다.,
comment,좋아요 나중에 링크 드릴게요!,10/28 11:14
content,한광희 교수님의 요리교실ㄷㄷ
comment,재미있엌ㅋㅋ,10/27 14:25
comment,이번 학기는 뭐 만드시나요..? 일학기 수강생이라서 궁금해서요..!,10/27 19:40
comment,감자 프리타타라고 무슨 부침개 비스무리한거 만드셨어요ㅋㅋㅋ,10/27 19:49
comment,근데 칼질 장인이시던데ㅋㅋㅋㅋㅋ,10/27 19:49
comment,"아 ㅋㅋㅋㅋㅋ 매번 신기한 걸 보여주신군요 ,, 일학기 때는 시금치 파스타 만드셨거든요 ㅋㅋㅋㅋ 요리 잘하시는 분이신가봐요!",10/27 20:14
content,카피킬러 내가 올렸던거 기록 삭제 안하고 과제 제출했는데 그럼 나 표절뜨나??
comment,헐 그러면 표절 떠?????,10/27 17:16
comment,ㄴ,10/27 17:17
content,와 나 세무 공부 열심히했고 오픈북이여서 꽤 잘본줄 알았는데 좆된듯...
comment,삭제된 댓글입니다.,
comment,어떡하지?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,10/27 15:23
comment,나도 잘본줄 알았는데... 무지한 자의 착각이였구요,10/27 15:22
comment,그니까ㅠㅠㅠㅠㅠㅠㅠ,10/27 15:23
comment,삭제된 댓글입니다.,
comment,하 진짜 에바임ㅋㅋㅋㅋㅋㅋㅋㅋ,10/27 15:23
comment,삭제된 댓글입니다.,
comment,인저유ㅠㅠ,10/27 15:31
comment,나만 반타작했냐?,10/27 15:30
comment,나도야ㅠㅠㅜ우리 점수는 따로 안올려주시나,10/27 15:31
comment,객관식 하나에 5점?,10/27 15:32
comment,아 그거 그래서 우리 합산한 점수(?) 중간 총 점수는 안알려주시나...,10/27 15:38
content,학생회 회의를 코로나라 잘 안하는데 가끔씩 하거든요 근데 그 일정을 몰라서 선배님이 회의한다고 얘기하기전에 약속을 잡았어요 이럴땐 어떻게 하는게 좋을까요...??ㅠㅠ
comment,참여 못한다고 그냥 말하면되자너,10/27 15:25
comment,그래두될까요...?ㅠㅠ,10/27 15:31
content,우와 교수님 뭐라고 하시는지 하나도 못 알아듣겠다 큰일났다
comment,나도..,10/27 15:58
comment,삭제된 댓글입니다.,
comment,그건 또 뭐람.. 난 ㄱㅅㅌ,10/27 16:07
comment,히ㅣ히히ㅣ.. 나도,10/27 16:16
content,대통 오늘 휴강인가요?
comment,그러게요 딱히 공지 못들었던거같은데 괜히 휴강인거같은 느낌적인 느낌...,10/27 16:02
comment,그러게요.. 4시 되었는데도 수강생분들 절반이 안오셨네요..,10/27 16:03
comment,오늘 휴강 같아요 뭔가 예습과제도 안올라왔었고...,10/27 16:03
comment,1학기때도 김교수님 수업은 시험전에 한번 휴강이었어서....,10/27 16:04
comment,근데 휴강 공지 없이 수업이 휴강일 수 있나요 ??,10/27 16:05
comment,1학기 중간고사땐 공부 하라고 휴강한다 말씀하셨고 기말고사땐 공지 없이 휴강하셨어요. 이번에도 그런듯,10/27 16:08
comment,맞아용 저번에 수업할때 화요일 휴강이라고 말하셨어용,10/27 18:25
content,미적분 개조졌네 평균 아래라니
comment,벌써 점수 나옴?,10/27 16:07
comment,ㅈㅂㄱ 교수님?   제일 잘본 사람이 몇점이래??,10/27 16:13
comment,85,10/27 16:14
comment,삭제된 댓글입니다.,
comment,46,10/27 16:40
comment,난 그래도 평균은 넘겼다...,10/27 16:39
comment,나 푼거에 죄다 쫙쫙 그어지고 1점 2점 받고 평균 아래 잘 푼줄 알았는데 깜짝 놀랐네,10/27 16:41
comment,이번에 좀 어려웠나봐,10/27 17:07
comment,나도 아래야....,10/27 17:09
comment,삭제된 댓글입니다.,
comment,"ㅇㅇ 나는 문제별로 점수 적어주시고, 첫페이지 오른쪽 위에 다 더해서 총점수 적어주셨더라",10/28 10:01
comment,그래야지,10/28 10:05
content,여기 엔쒸리 파는애들 있어....? 주위에 없어서 외로워... 있으면 최애좀 적고가...
comment,마쿠리~,10/27 16:46
comment,정재현.....,10/27 16:46
comment,김정우 ....,10/27 16:47
comment,파는 건 아닌데... 진짜 아닌데... 최근에 본 동영상 전부 엔쒸리임 명예즈니 시켜 줘 이동혁 사랑해,10/27 16:50
comment,ㅋㅋㅋㅋㅋㅋㅋㅋ아니 당신... 이미 시즈니의 길을 걷고 있잔아...,10/27 16:53
comment,허억 해찬마크,10/27 16:55
comment,이마크,10/27 16:56
comment,나 머글인데 마크 드림 시절 전나 사랑하구 정우 재현••• 참 진짜••• 나재민 어쩌면 이름도 나재민이야••,10/27 16:57
comment,확실히 막꾸리 도녁이 인기가 많구나!!ㅠㅅㅠ,10/27 16:59
comment,이제노...,10/27 17:00
comment,나재민.,10/27 17:12
comment,댓글써줘서 고맙다 얘들아♡ 개강하구 보고시퍼 탤프는 없엇찌만.....ㅠㅅㅠ,10/27 17:36
comment,나 태일이형한테 문려드는중~,10/27 18:43
comment,꺄 기릿형한테 모두 문며들어죠><,10/27 19:17
comment,아니 시준희 이렇게 많았다구..? 친해지고 싶다.. 수다떨고싶다.. 같이 앓고 싶다...,10/27 17:38
comment,그니까!! 학교 못가는게 답답해 미칠 지경~~~,10/27 17:41
comment,김도영 마크리 .... @.@,10/27 18:48
comment,"샤오쥔,,,,,",10/27 20:23
comment,신동중 정재현 선배님 모르냐고옥!!!!,10/27 21:58
comment,재미니,10/28 00:33
content,나만 대학친구 없는것 같네ㅠㅠ 나랑 친구해 줄사람..!!
comment,낭,10/27 17:05
comment,me,10/27 17:08
comment,✌🏻,10/27 17:09
comment,1명도 없어?,10/27 17:11
comment,나,10/27 17:12
comment,나도 없어 🍎🍎,10/27 17:13
comment,나나!!,10/27 17:15
comment,나..,10/27 17:22
comment,나도 아는 대학 친구가 없어...,10/27 17:52
comment,나❤️,10/27 17:56
comment,😀,10/27 19:39
comment,나,10/28 01:24
comment,나도ㅜㅜ,10/30 18:59
content,같은 과 사람이 너무 띠꺼워... 이런 인간한테는 말을 어떻게 해야 잘 알아먹을까?
comment,소온절,10/27 17:47
comment,그러고 싶은데... 자꾸 엮일 수밖에 없다ㅠ,10/27 17:48
comment,동기임?,10/27 17:48
comment,응ㅠㅠ,10/27 17:48
comment,어떻게 이야기 하는데???,10/27 17:53
comment,"뭐 예를 들어서 사소하게 말좀 틀리게 하면 그때마다 그거 아닌데? 이러고, 농담해도 정색하고... 나는 걔한테 잘못한게 없는데 걔가 그냥 나한테 빡쳐있는 것 같아... 그렇게 탈잡는 것 빼고는 나한테 말 한마디도 안 건다 진짜ㅋㅋ",10/27 17:57
comment,너도 먼저 연락하지 말고 정말 팀플이나 필수적인 과 관련 일 빼고는 말 섞지마러. 대학까지 와서 힘들어하지마ㅠㅠ,10/27 18:03
comment,다른 사람들은 참 좋은데...,10/27 18:04
comment,손절이 답이야 겉으로 못하면 속으로라도 천천히 손절 스트레스받으면 너만 손해다,10/27 18:01
comment,걔랑 계속 엮이더라도 그냥 못 들은척 하면 되겠지?,10/27 18:02
comment,ㅇㅇㅇ 너도 그냥 의미없이 영혼빼고 대답하고 넘겨 저런타입은 싸우면 더 골아프다,10/27 18:02
comment,그냥 남들한텐 티내지 말고 서서히 손절 추천,10/27 18:01
comment,손절이라... 걔를 떼놓을 방법이 없다,10/27 18:02
comment,댓 보니까 내가 제일 싫어하는 부류다 그냥 손절하자...그게 젤루 좋다,10/27 18:02
comment,이제 엮이더라도 신경 안 쓰기로 했다ㅋㅋ,10/27 18:03
comment,혹시 소형과??? 소형거ㅏ 아님 손절하는거 추천,10/27 18:08
comment,한 70명 정도니까 뭐ㅋㅋ 근데 요즘 걔랑 같은 공간에 있는 경우가 많을 수밖에 없다,10/27 18:10
comment,"신경 끄고, 계속 어거지로 태클걸면 한번 들이박자",10/27 18:08
comment,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그래 뭐 좋다,10/27 18:10
comment,삭제된 댓글입니다.,
comment,누군데,10/27 18:13
comment,아ㅋㅋ 똑같은 상황이구나!,10/27 18:14
comment,"와 나랑 똑같아...... 세상을 삐뚤게 사는거같음ㅡ.,ㅡ",10/27 18:21
comment,진짜 이런 사람이 또 있구나ㅋㅋ,10/27 18:22
comment,졸라빡쳐...,10/27 18:23
comment,걔만 떼놓고싶다ㅋ,10/27 18:23
comment,얼굴보고 얘기한적있어?,10/27 18:25
comment,얼굴 최근들어 자주 봄...,10/27 18:25
comment,그렇게 반응하는게 멋있다고 생각하는건가...?,10/27 18:35
comment,나는 눈치가 없어서 잘 모르겠다...,10/27 18:36
comment,걔 어차피 다른 사람들도 그렇게 생각할거야... 그런 새끼는 지가 지 인생 스스로 좆만드는놈임 너만 싫어하는거 아니니까 걱정하지마~~,10/27 19:30
comment,내가 좀 만만하긴 해ㅋㅋ,10/27 19:34
comment,노노 절대 노~~ 너 만만하지 않아 그런 틀에서 벗어나서 걔한테 하고싶은얘기 있으면 하고 그래 네편 많아 응원해!,10/27 19:40
comment,진짜 고마워!!ㅠㅠ,10/27 20:25
comment,미안해...공감해주고 싶은데 아는 동기 조차 없엉ㅠㅠ,10/27 19:37
comment,나도 거의 며칠전까지 전혀 모르다가 우연한 기회로 몇 명 알게됐어!,10/27 20:27
comment,왠지 내가 아는 사람이랑 같은 사람인 거 같기도...??,10/27 19:39
comment,그거 혹시 나니? ㅋㅋㅋㅋ,10/27 23:46
comment,누군데 ㅋㅋ,10/27 23:46
comment,나야나 나야나 ~,10/27 23:48
comment,?,10/27 23:49
content,학원 알바 면접 볼때 문제 몇문제 정도 풀어?? 아니면 공식 같은거 물어봐?
comment,학생 나이대마다 다르지 않아?,10/27 19:04
comment,주로 중딩인데 고1까지도 한대서 걱정이네,10/27 19:07
comment,난 공식 물어봄,10/27 19:07
comment,어떤거 물어봤어?? 다대답했어?,10/27 19:07
comment,나 영어였는데 동명사 파트에서 나오는 문법적 요소 이런거 10분동안 설명해보라함,10/27 19:08
comment,대단하다 난 수학인데 걱정 중이야 ㅠ,10/27 19:09
comment,수학이면 공식이나 문제풀이법 물어보지않을까..,10/27 19:09
comment,지인 추천으로 가는거라 더 떨린다 아니었음 걍 못풀면 말고 였을텐데 공식 지금 다시 보는 중인데 심화 문제주면 못 풀듯...중딩꺼 기억이 가물가물해서,10/27 19:10
comment,답지같은거 많이 봐봥.. 화이팅 ㅎㅎ,10/27 19:11
comment,고마워~~,10/27 19:13
comment,난 과학하는데 딱히 공식같은거 안물어봤고 수능때 생지였는데 물화생 봐주고있음..ㅎ,10/27 19:40
comment,그럼 면접 때 질문 뭐 받았어??,10/27 19:43
comment,오히려 이력서에 적은거 부연설명하고 애들 어떻게 봐줄건지 이런거 물어봤었어!,10/27 19:44
comment,아하 알려줘성 고마웡 다른 과목 봐주는데 힘든건 없엉??,10/27 19:45
comment,웅ㅎㅎ 정 모르는건 답지 봐가면서 하고 공부 잘하는 친구꺼 봐줄때는 내가 좀더 알려주고싶어서 미리 인강 들어가,10/27 19:46
content,아 시장경제와 위험사회 기획안 어케 적능거임 하
content,아직 과사람들이랑 셤끝나고 술자리 만드는건 에바지?
comment,완전 단체로 하는거 아니면 뭐,10/27 19:50
comment,ㄱㄱ,10/27 20:04
comment,ㄱㄱ,10/27 23:13
comment,그냥 해이제,10/28 02:26
comment,1단계잖아...,10/28 06:53
content,음샘 혹시가입한 사람있어?
content,"지환공 한광희 교수님,,전문지식 일반지식 사례 모르겠다ㅜㅜㅜㅜㅜ하 그리고 이거 표절률 몇 퍼 정도 되어야 괜찮을까?"
comment,삭제된 댓글입니다.,
comment,표절 검사 안하시겠지..? 나 복붙 진짜 많은데..,10/27 21:40
comment,응응 나도 아직 하는 중 ㅋㅋㅋㅋㅋ큐ㅠㅠㅠㅠ,10/27 21:54
comment,표절률 상관 없는 과제 아닌가ㅠㅠ 나도 다 복붙이야,10/27 21:41
comment,그렇겠지? 따로 표절관련 언급 없으셨으니깐..? 하하후ㅜㅜ,10/27 21:45
comment,메일로 제출하면 되는거지???,10/27 22:58
comment,복붙이하는게 어디서 했다는거야?? ppt는 괜찮지 않나?,11/02 13:23
content,오늘 문예세 정윤길 교수님 출석 불렀어??
content,지자세 ㅈㅁㄹ 교수님 수업 들으셨던 분들 뭐 좀 물어봐도 될까요?
comment,넹,10/27 22:35
comment,녜,10/27 22:42
comment,ㅖㅇ,10/27 22:47
comment,넹,10/27 22:47
comment,넨 지난학기들었어요,10/27 22:48
content,와.. 실험 레포트 열심히 써가는데 점수는 안나온다...
comment,무슨과목,10/27 09:54
comment,생물..,10/27 10:16
comment,대생?,10/27 10:33
comment,ㄴㄴ 일생,10/27 10:38
content,교수님은 이제 얘기 그만 하셔도 되는데 ......
comment,아 나랑 같은 수업인가 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ웃기당 ㅜ,10/27 10:11
content,자명 ㅇㅅㅈ 교수님 출결 기준 아는 사람 ㅠ
content,ㄱㅅㅎ 사회학개론 휴강... 와 감사합니다
comment,개이득 ㅜ,10/27 10:22
comment,피곤했는데 나이스,10/27 10:24
content,오늘 지환공 수업 없어?
comment,늦게 들어오시는 거 같아,10/27 10:36
comment,아하..,10/27 10:36
content,eas2 키아란 교수님 아직 안오신거지?
comment,오셨네,10/27 10:34
content,"근데 레포트랑 시험 택1이면 레포트는 교수님 주관적일 확률이 높고 시험은 객관적인 답이 정해져있는데 차라리 시험이 낫지않나...ㅠ 심지어 레포트는 왜 특히 더 빡세게 하시겠다는 말씀으로 들리지ㅠㅠ 지방이라 대면 억지로 올라갈수도없구,,,흑"
comment,그니까;; 그냥 학교 오라는 소리로 밖에 들이지 않음ㅠㅠ,10/27 10:47
comment,나만 그렇게 들린거 아니지... 계속 무언의 압박을 주셔 ㅋㅋㅋㅋ시험은 굉장히 간단하게 내시겠다고 하고..,10/27 10:50
comment,"진짜 너무 싫다,,",10/27 10:59
comment,나도 ㅋㅋ..말해볼까 생각중 .. 공정한 평가 위해선 차라리 하나로 통일하는게 나을거같은데ㅠ,10/27 11:05
comment,나도 말씀드려볼라고..공정하지도 않고 지방 학생들 배려하지도 않고,10/27 11:20
comment,ㅈㅎㅊ 교수님이야?,10/27 11:57
content,안 들리는건가 아니면 안 들리는 척하는건가..
content,나삶나비 ㅇㅇㅈ 교수님 중간과제 드림패스 검사만 하면 되는거 맞아?? 핵심역량 그것도 해야해?
comment,....드림패스들어가서 핵심역량검사하는거얌,10/27 12:04
comment,드림패스 진단이 아니구.....? 잘못했다..,10/27 12:04
content,Eas2 제이미 멜린추크 교수님 시험 어떻게 보나요? 많이 어렵나요?
comment,4년전에 들었는데 그땐 쉽게 찝어주셨음,10/27 13:30
comment,1학기때 봤는데 쉽게 내주셨어요,10/27 14:10
comment,문제가 어떤 방식으로 나오나요?,10/27 14:18
content,기본권론 박선영 교수님 출석 다 확인되어있나요?
comment,삭제된 댓글입니다.,
comment,감사합니다:),10/27 12:16
content,기본권론 왜이래??
content,아니 교수님.. 고졸한테 도대체 무얼 바라시는 건가요..ㅠㅠㅠ
comment,대졸,10/27 14:44
content,꽃개
comment,개님 잘 지내시개?,10/27 12:08
comment,그렇개,10/27 12:08
comment,혹시 먹먹이라고 아심니까?,10/27 12:16
comment,개님 넘 귀엽개,10/27 14:43
content,와 폰 웹엑스 개편하네 왜 이걸 이제 알았을까..
comment,어떤게 편해??,10/27 14:00
comment,ㄹㅇㅋㅋ 이클 안들어가도됨,10/27 14:37
content,하 ㅋㅋㅋㅋㅋ 아니 잘 아는 친구는 아닌데 맨날 건대 과잠입고 사진 올리고 내가 동대다닌다니까 같은 건동홍이라도 건국대가 더 좋다며 그러길래 그냥 그러려니 했는데 ㅆㅂ 건대 글캠임ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
comment,삭제된 댓글입니다.,
comment,ㄹㅇ ㅈㄴ역겨움 ㅋㅋㅋㅋㅋ,10/27 12:18
comment,본캠이어도 취업 시장에선 도찐개찐이 무시하는 것 같아서 빡치는데 분교가...?,10/27 12:22
comment,진짜 다른애들이 어디학교 다니냐고 물어봐도 그냥 건대다닌다고 그러더라 ㅋㅋㅋㅋㅋ,10/27 12:25
comment,네가 이겼으니까 속으로 비웃어줘,10/27 12:23
comment,근데 나도 얼마전에 알았음 ㅋㅋㅋ 싸강이라 맨날 노는것도 건대입구에서 놀더라,10/27 12:26
comment,건대도 분교가 있었어??,10/27 12:28
comment,아 나도 이제 자랑스럽게 과잠 좀 입고 다녀야겠다~~,10/27 12:44
comment,같ㅋㅋㅋ은ㅋㅋㅋㅋ건동홍ㅋㅋㅋㅋㅋㅋㅋ,10/27 12:48
